it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
112	-13.372120	-5958.177295	-1199.119462	1.780408	0.939266	0.003597	24.348934	0.041950	0.704062	1.649360	2.076378	1705.573303
113	-13.032769	-5987.550265	-1200.067476	1.774030	0.874791	0.006170	23.615910	0.030578	0.815507	1.888480	2.111067	1709.765582
114	-13.236476	-5972.351476	-1186.266682	1.831280	1.033613	0.006043	24.595158	0.025141	0.772253	2.075590	2.414252	1685.684138
115	-12.637893	-5966.154039	-1195.369746	1.787303	0.817762	0.015106	24.929648	0.007564	0.701806	1.741467	2.198993	1692.606517
116	-12.471810	-5932.372535	-1178.794090	1.837014	1.097282	0.029472	23.803950	0.076134	0.721805	1.794041	2.207505	1670.646010
117	-12.441996	-5918.298711	-1195.926870	1.759831	0.908970	0.021440	23.566486	0.078576	0.581588	1.320164	2.071231	1675.556783
118	-12.361523	-5968.076329	-1194.420679	1.778472	0.995455	0.029470	24.034940	0.036199	0.722704	1.578428	1.940043	1687.311766
119	-12.971515	-6029.464208	-1200.528017	1.824857	0.826366	0.007465	23.904459	0.080124	0.795310	1.988075	2.262057	1724.802497
120	-12.747958	-5964.488271	-1201.065594	1.785521	0.898563	0.012519	24.612210	0.109892	0.709353	1.660946	2.076383	1701.678361
121	-12.597509	-5919.317503	-1184.153935	1.818470	0.846049	0.016093	23.896053	0.068444	0.700533	1.705061	2.156742	1669.033933
122	-13.188427	-5933.612804	-1188.280555	1.812560	0.974855	0.005475	23.958980	0.082854	0.739368	1.686615	2.032283	1676.355228
123	-12.430276	-5969.837102	-1200.273533	1.710067	0.881534	0.021476	24.941544	0.126784	0.684138	1.535572	1.987769	1686.763888
124	-12.735287	-5983.074630	-1205.731701	1.775312	0.902602	0.011854	23.845587	0.010260	0.656506	1.462536	1.976466	1705.075001
125	-12.484257	-6073.484845	-1200.735724	1.771950	0.868091	0.019547	23.966473	0.029826	0.768084	1.949697	2.277389	1725.693124
126	-12.818458	-5990.898908	-1195.804940	1.772506	0.936776	0.010994	24.427795	0.036929	0.733228	1.834135	2.225890	1692.225840
127	-12.960223	-5975.756486	-1199.653585	1.847894	0.852464	0.009096	25.203640	0.045571	0.680522	1.656090	2.155229	1680.723720
