Species	Status
Vulpes_corsac	extant
Vulpes_galaticus	extinct
Vulpes_praecorsac	extinct
Vulpes_praeglacialis	extinct
Vulpes_stenognathus	extinct
Vulpes_velox	extant
Vulpes_vinetorum	extinct
Vulpes_vulpes	extant
Xenalopex_remenyii	extinct
Xenictis_pilgrimi	extinct
Xenocyon_dubius	extinct
Xenosmilus_hodsonae	extinct
Ysengrinia_americana	extinct
Ysengrinia_depereti	extinct
Ysengrinia_gerandiana	extinct
Ysengrinia_tolosana	extinct
Ysengrinia_valentiana	extinct
Zaragocyon_daamsi	extinct
Zodiolestes_daimonelixensis	extinct
Zodiolestes_freundi	extinct
