Species	Status	MinT	MaxT
Acritohippus_isonesus	extinct	13.6	15.97
Acritohippus_isonesus	extinct	15.7	15.8
Acritohippus_isonesus	extinct	15.4	15.7
Acritohippus_isonesus	extinct	15.4	15.7
Acritohippus_isonesus	extinct	15.6	15.7
Acritohippus_isonesus	extinct	15.5	15.6
Acritohippus_isonesus	extinct	15.4	15.5
Acritohippus_isonesus	extinct	15.4	15.5
Acritohippus_isonesus	extinct	11.8	11.9
Acritohippus_isonesus	extinct	14.7	14.7
Acritohippus_isonesus	extinct	15.2	15.2
Acritohippus_isonesus	extinct	15.3	15.3
Acritohippus_isonesus	extinct	15.7	15.7
Acritohippus_isonesus	extinct	15.8	15.8
Acritohippus_quinni	extinct	16.1	16.6
Acritohippus_quinni	extinct	16.2	16.6
Acritohippus_quinni	extinct	14.9	16.2
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	13.6	15.97
Acritohippus_quinni	extinct	14.9	14.9
Acritohippus_quinni	extinct	15	15
Acritohippus_quinni	extinct	16.6	16.6
Acritohippus_quinni	extinct	16.6	16.6
Acritohippus_stylodontus	extinct	15.7	16.9
Acritohippus_stylodontus	extinct	15.7	16.9
Acritohippus_stylodontus	extinct	15.7	16.9
Acritohippus_stylodontus	extinct	15.7	16.9
Acritohippus_stylodontus	extinct	13.6	15.97
Acritohippus_stylodontus	extinct	15	15.1
Acritohippus_stylodontus	extinct	14.1	14.4
Acritohippus_stylodontus	extinct	14.3	14.4
Acritohippus_stylodontus	extinct	14.1	14.2
Acritohippus_stylodontus	extinct	14.1	14.2
Acritohippus_tertius	extinct	15.97	20.43
Acritohippus_tertius	extinct	15.97	20.43
Acritohippus_tertius	extinct	17.3	17.7
Acritohippus_tertius	extinct	17.6	17.7
Acritohippus_tertius	extinct	17.3	17.3
Acritohippus_tertius	extinct	17.6	17.6
