fraction,tree,extinction,estimate,mape
0.25,tree.13,no_ext,mape.mean.new,39.74194059867814
0.25,tree.13,no_ext,mape.median.new,42.807183604557146
0.25,tree.130,no_ext,mape.incomplete,479.51891338532215
0.25,tree.130,no_ext,mape.mean,391.9960540842852
0.25,tree.130,no_ext,mape.median,479.92467422217635
0.25,tree.130,no_ext,mape.mean.new,426.0026097544478
0.25,tree.130,no_ext,mape.median.new,479.518903134609
0.25,tree.131,no_ext,mape.incomplete,198.85492316068957
0.25,tree.131,no_ext,mape.mean,170.160193191935
0.25,tree.131,no_ext,mape.median,199.0137942929131
0.25,tree.131,no_ext,mape.mean.new,140.93742603880938
0.25,tree.131,no_ext,mape.median.new,198.85492001456367
0.25,tree.132,no_ext,mape.incomplete,718.3056865676067
0.25,tree.132,no_ext,mape.mean,578.3509006072021
0.25,tree.132,no_ext,mape.median,717.7963757181228
0.25,tree.132,no_ext,mape.mean.new,573.1988825861233
0.25,tree.132,no_ext,mape.median.new,718.3056680814988
0.25,tree.133,no_ext,mape.incomplete,80.64200785818602
0.25,tree.133,no_ext,mape.mean,79.143895956412507
0.25,tree.133,no_ext,mape.median,82.16714707991832
0.25,tree.133,no_ext,mape.mean.new,68.62600180895565
0.25,tree.133,no_ext,mape.median.new,80.64200936014323
0.25,tree.134,no_ext,mape.incomplete,109.45436552364829
0.25,tree.134,no_ext,mape.mean,99.4180671228915
0.25,tree.134,no_ext,mape.median,109.70727095890582
0.25,tree.134,no_ext,mape.mean.new,95.24249290374269
0.25,tree.134,no_ext,mape.median.new,109.45436462995075
0.25,tree.135,no_ext,mape.incomplete,123.53206286409639
0.25,tree.135,no_ext,mape.mean,112.11847431882929
0.25,tree.135,no_ext,mape.median,123.62143321683699
0.25,tree.135,no_ext,mape.mean.new,112.42950630823513
0.25,tree.135,no_ext,mape.median.new,123.53206104528165
0.25,tree.136,no_ext,mape.incomplete,454.274213187147
0.25,tree.136,no_ext,mape.mean,372.354625620997
0.25,tree.136,no_ext,mape.median,456.1502693243322
0.25,tree.136,no_ext,mape.mean.new,337.68796582161673
0.25,tree.136,no_ext,mape.median.new,454.2742062296604
0.25,tree.137,no_ext,mape.incomplete,123.65349174807943
0.25,tree.137,no_ext,mape.mean,113.10725991567536
0.25,tree.137,no_ext,mape.median,124.80672438182758
