tree,status,mean.true,mean.0.50
tree.108,NT,0.814581103376328,1.0294442126754828
tree.108,VU,1.5516887484224329,2.618121432166471
tree.108,EN,2.9044850300879674,2.427901101964374
tree.108,CR,6.765594424071935,4.408303799389291
tree.109,LC,0.45150191948850166,1.6704977960209693
tree.109,NT,1.492104522134922,1.662879826633498
tree.109,VU,3.028614860255378,1.7282733723987709
tree.109,EN,5.606270942606722,2.075461186942901
tree.109,CR,11.257066061833768,1.1841265661407525
tree.11,LC,0.19761898031938613,0.23819744558137515
tree.11,NT,0.6495892283997011,1.798740243865403
tree.11,VU,1.344639342844629,1.3212413837475976
tree.11,EN,2.4605330605148965,3.722148718628979
tree.11,CR,5.498014039252642,2.21046458975906
tree.110,LC,0.40984778541908273,0.8001865757179927
tree.110,NT,1.43216039101216,2.034861072729976
tree.110,VU,3.0193097206880437,3.759039719026721
tree.110,EN,4.767032745803359,2.281623348536252
tree.110,CR,8.81644743571059,2.4095974312189905
tree.111,LC,0.30004046247182514,0.7851760947693797
tree.111,NT,1.329002918496123,2.0435655841913594
tree.111,VU,2.601812432725978,1.5339595950085854
tree.111,EN,4.8319133265367,2.6564584373317004
tree.111,CR,8.660372405156512,1.7666170328046769
tree.112,LC,0.325906491665669,0.7965829489064876
tree.112,NT,1.1624951770050207,2.5239557223051947
tree.112,VU,2.336040118748458,5.080980963218092
tree.112,EN,4.474169277630774,1.4429210178388576
tree.112,CR,10.249115388792774,3.6037621077880515
tree.113,LC,0.42812865824560187,1.1538575171834737
tree.113,NT,1.5410765497092604,2.384487998815501
tree.113,VU,2.9043694398072746,2.720575254584519
tree.113,EN,5.106446102901857,2.606235034705234
tree.113,CR,9.100138534070526,1.010215003871459
tree.114,LC,0.4853250890627363,1.1352927257235084
tree.114,NT,1.5173825058790233,1.8486689130315326
tree.114,VU,3.256995145627234,1.5624418284920372
tree.114,EN,5.304102076810415,2.7397868008059656
tree.114,CR,11.316237878434347,0.8820214821527831
tree.115,LC,0.28874423603318666,0.6991357721327192
tree.115,NT,0.8273990065326867,1.317112225584942
